name,start,end,type,fmt
MAMINF1,1643,1644,d,N2.
MASIAF1,1645,1646,d,N2.
MPACF1,1647,1648,d,N2.
MRACEOTF1,1649,1650,d,N2.
MOMGRADF1,1651,1652,d,N2.
MOMGRAF11,1653,1654,d,N2.
MOMGRAF21,1655,1656,d,N2.
MOMVOTEF1,1657,1658,d,N2.
MOMDIPF1,1659,1660,d,N2.
MOMWORF1,1661,1662,d,N2.
MOMLEAVF1,1663,1664,d,N2.
MOMHOURF1,1665,1666,d,N2.
MOMMTHF1,1667,1668,d,N2.
MOMLOOF1,1669,1670,d,N2.
MOMAGNF1,1671,1672,d,N2.
MOMEMPF1,1673,1674,d,N2.
MOMREF1,1675,1676,d,N2.
MOMANSAF1,1677,1678,d,N2.
MOMENROF1,1679,1680,d,N2.
MOMNEF2,1681,1682,d,N2.
MOMSTAF2,1683,1684,d,N2.
MOMLANF2,1685,1686,d,N2.
MOMSPEAF2,1687,1688,d,N2.
MOMBORF2,1689,1690,d,N2.
MHISPAF2,1691,1692,d,N2.
MWHITF2,1693,1694,d,N2.
MBLACF2,1695,1696,d,N2.
MAMINF2,1697,1698,d,N2.
MASIAF2,1699,1700,d,N2.
MPACF2,1701,1702,d,N2.
MRACEOTF2,1703,1704,d,N2.
MOMGRADF2,1705,1706,d,N2.
MOMWORF2,1707,1708,d,N2.
MOMHOURF2,1709,1710,d,N2.
MOMMTHF2,1711,1712,d,N2.
MOMENROF2,1713,1714,d,N2.
DADSTAF1,1715,1716,d,N2.
DADLIVF1,1717,1718,d,N2.
DADLANF1,1719,1720,d,N2.
DADSPEAF1,1721,1722,d,N2.
DADBORF1,1723,1724,d,N2.
DHISPAF1,1725,1726,d,N2.
DWHITF1,1727,1728,d,N2.
DBLACF1,1729,1730,d,N2.
DAMINF1,1731,1732,d,N2.
DASIAF1,1733,1734,d,N2.
DPACF1,1735,1736,d,N2.
DRACEOTF1,1737,1738,d,N2.
DADGRADF1,1739,1740,d,N2.
DADGRAF11,1741,1742,d,N2.
DADGRAF21,1743,1744,d,N2.
DADVOTEF1,1745,1746,d,N2.
DADDIPF1,1747,1748,d,N2.
DADWORF1,1749,1750,d,N2.
DADHOURF1,1751,1752,d,N2.
DADMTHF1,1753,1754,d,N2.
